% function evaluation | noise-free fitness - Fopt (3.590000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
6 +1.515143678e+05 +1.515143678e+05 +1.521052078e+05 +1.521052078e+05 +2.7314e+00 -1.7865e+00 +4.3658e+00 -4.0767e+00 -4.2873e+00 -4.3454e+00 +4.2994e+00 +1.9499e+00 +1.3283e+00 -1.8871e-01
20 +4.024557870e+04 +4.024557870e+04 +4.083641870e+04 +4.083641870e+04 +2.6997e+00 +2.2104e+00 +1.0161e+00 +2.5319e+00 -1.6029e+00 -4.4541e+00 -2.9898e+00 +3.7787e+00 -2.9068e+00 +4.0754e+00
30 +3.368216451e+04 +3.368216451e+04 +3.427300451e+04 +3.427300451e+04 -1.7118e+00 +4.8672e+00 -3.4737e+00 +3.8016e+00 -4.2895e+00 -2.0958e+00 +1.9366e-01 +2.0522e+00 +6.4349e-01 +1.5447e+00
43 +2.254750996e+04 +2.254750996e+04 +2.313834996e+04 +2.313834996e+04 -3.6729e+00 +1.1981e+00 +3.7941e-01 +4.9735e+00 -1.9072e+00 +1.4341e-01 +4.1266e+00 +1.4500e-01 -9.2032e-01 -4.4870e-01
45 +2.318556944e+02 +2.318556944e+02 +8.226956944e+02 +8.226956944e+02 -3.2943e+00 +2.0342e+00 -1.1593e-01 +2.3589e+00 -2.9721e+00 -7.3839e-01 +3.6020e+00 +4.7115e+00 +4.4704e+00 -3.1022e+00
% function evaluation | noise-free fitness - Fopt (3.098000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.827260903e+05 +1.827260903e+05 +1.827570703e+05 +1.827570703e+05 -1.4587e+00 -6.0081e-01 -4.1863e+00 -3.1286e+00 +4.0956e+00 +1.8055e+00 -2.2846e+00 -3.8817e+00 +3.2634e+00 +3.2133e+00
35 +1.560853404e+05 +1.560853404e+05 +1.561163204e+05 +1.561163204e+05 +2.2319e+00 +2.8183e+00 +1.9167e+00 -5.0544e-01 -3.2334e+00 +1.4408e+00 +2.8599e+00 +2.8543e+00 +8.4359e-01 +3.9119e+00
46 +3.384101917e+04 +3.384101917e+04 +3.387199917e+04 +3.387199917e+04 +1.4022e+00 +4.6898e+00 -2.6040e+00 -3.6215e+00 +7.8235e-01 +9.2834e-01 +4.0641e+00 +1.3671e+00 +4.1658e+00 +4.2718e+00
89 +2.857088664e+03 +2.857088664e+03 +2.888068664e+03 +2.888068664e+03 +5.1554e+00 +4.5383e+00 -5.0357e+00 -5.7106e+00 +1.6065e+00 +3.2640e+00 +5.9508e-01 -2.7058e+00 +1.5238e+00 +4.3477e+00
% function evaluation | noise-free fitness - Fopt (-1.445400000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +3.322398015e+05 +3.322398015e+05 +3.320952615e+05 +3.320952615e+05 +1.4310e+00 +3.6198e+00 +3.2922e+00 +7.8670e-01 +4.6373e-02 -3.3363e+00 +6.9261e-03 +2.2515e+00 +3.6035e+00 -1.9470e+00
7 +1.195316268e+05 +1.195316268e+05 +1.193870868e+05 +1.193870868e+05 +5.1904e-01 +4.5029e-01 +6.5210e-01 -4.0509e+00 +1.0969e+00 +2.7718e-01 +5.4156e-01 -2.6211e+00 +1.8741e+00 -3.4912e-01
19 +5.997773897e+04 +5.997773897e+04 +5.983319897e+04 +5.983319897e+04 +3.8716e+00 -4.9494e+00 -4.0056e+00 -2.1230e+00 -5.2947e-01 -5.1750e-01 -7.7417e-02 -1.5204e+00 +3.1926e-02 -4.9315e+00
26 +3.101785163e+03 +3.101785163e+03 +2.957245163e+03 +2.957245163e+03 +8.1254e-01 +1.0805e+00 -2.1944e+00 -2.6367e+00 -9.1681e-01 -1.0895e+00 -3.7150e+00 -4.4663e+00 +3.1549e+00 -4.9083e+00
% function evaluation | noise-free fitness - Fopt (-9.649000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +5.756202654e+05 +5.756202654e+05 +5.755237754e+05 +5.755237754e+05 +1.7913e+00 -4.3133e+00 -2.4849e+00 +4.3868e+00 -1.4153e+00 +4.1465e+00 -2.8950e+00 -3.5242e+00 +4.2336e-01 -3.6226e+00
10 +3.341791129e+05 +3.341791129e+05 +3.340826229e+05 +3.340826229e+05 +1.3874e-01 -6.7848e-01 +4.2341e+00 -3.4228e+00 -1.5915e+00 -4.7342e+00 +2.3623e+00 +2.7388e+00 +3.0631e+00 +3.8012e+00
11 +1.485980810e+05 +1.485980810e+05 +1.485015910e+05 +1.485015910e+05 +1.6347e+00 +1.4575e+00 -1.3964e+00 -1.5089e+00 +7.7850e-01 +2.2700e+00 -4.6013e+00 +1.7410e-02 -3.1119e+00 +3.3558e+00
13 +6.216452441e+04 +6.216452441e+04 +6.206803441e+04 +6.206803441e+04 +2.5995e+00 -5.6082e-01 +1.5502e+00 +4.1427e-02 +3.0653e+00 -4.4558e-01 +3.2924e+00 -1.6603e-01 -1.0473e+00 +2.1199e+00
53 +3.551215612e+04 +3.551215612e+04 +3.541566612e+04 +3.541566612e+04 +3.4746e+00 -3.9135e-01 +2.9406e+00 -7.0518e-01 +4.6352e+00 -1.5885e-01 +4.4386e+00 -3.2267e+00 -1.5705e+00 +4.8089e+00
% function evaluation | noise-free fitness - Fopt (1.000000000000e+03) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +3.885712171e+05 +3.885712171e+05 +3.895712171e+05 +3.895712171e+05 +2.6503e+00 +4.1849e+00 -7.7276e-01 +3.0018e+00 -1.6817e+00 +4.1300e-01 -3.3676e+00 -2.2534e+00 +2.2772e+00 -6.0393e-01
2 +2.496451256e+05 +2.496451256e+05 +2.506451256e+05 +2.506451256e+05 -1.2759e+00 +1.1832e+00 +5.5939e-01 -3.1115e+00 +9.8302e-01 -2.1577e+00 +4.1569e+00 +1.3334e+00 -2.0769e-01 +5.2294e-01
6 +1.275818286e+05 +1.275818286e+05 +1.285818286e+05 +1.285818286e+05 +4.4221e-01 +3.8025e+00 +2.7620e-01 -1.3143e+00 +4.1604e+00 +4.2475e+00 -6.2422e-01 -3.8475e+00 +4.6056e+00 -2.9672e+00
49 +8.257260303e+04 +8.257260303e+04 +8.357260303e+04 +8.357260303e+04 +9.2289e-01 -4.1796e+00 +4.5785e+00 -3.9055e+00 +3.6996e+00 +4.4646e+00 -2.7318e-01 +3.1570e+00 -1.5943e+00 +4.1475e+00
52 +4.042575265e+04 +4.042575265e+04 +4.142575265e+04 +4.142575265e+04 +4.3083e+00 +4.8934e+00 +1.1450e+01 +1.2861e+00 +3.4657e+00 +3.5645e-02 +2.9233e+00 +1.5450e+00 -3.7657e+00 -1.6071e+00
% function evaluation | noise-free fitness - Fopt (-1.547600000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +4.442922565e+05 +4.442922565e+05 +4.441374965e+05 +4.441374965e+05 +4.9941e+00 -6.4030e-01 -2.3113e+00 -4.3080e+00 +2.0585e+00 +1.5584e+00 +3.8295e+00 -4.4831e+00 -9.7675e-01 -3.8454e+00
2 +1.603706209e+05 +1.603706209e+05 +1.602158609e+05 +1.602158609e+05 +3.8476e+00 -4.3971e-01 +4.7864e+00 +4.7416e-01 -4.4976e+00 -4.1632e+00 -8.5710e-02 -2.2081e+00 -4.9099e+00 +6.4240e-01
8 +1.166520505e+05 +1.166520505e+05 +1.164972905e+05 +1.164972905e+05 -1.6833e+00 -4.6023e+00 +2.5300e+00 +1.6483e+00 +1.5003e+00 -2.0343e+00 +7.7115e-01 +9.0764e-02 +3.7418e+00 +3.3760e+00
18 +8.585348510e+04 +8.585348510e+04 +8.569872510e+04 +8.569872510e+04 +1.0216e+00 -3.2293e+00 -1.2520e+00 +4.7934e-01 +3.4820e+00 -4.6583e+00 +2.1345e+00 -2.2760e+00 -2.0055e+00 +1.5557e+00
56 +6.287796210e+04 +6.287796210e+04 +6.272320210e+04 +6.272320210e+04 -2.9224e+00 -7.7196e+00 +1.2171e+00 -3.5110e+00 +3.8148e-01 -8.6813e+00 -3.9989e+00 -2.0713e+00 -1.7165e+00 -1.2633e+00
77 +4.611504704e+03 +4.611504704e+03 +4.456744704e+03 +4.456744704e+03 -4.8072e+00 -7.9970e+00 +5.1346e+00 +4.9032e+00 +7.9970e+00 -3.9800e+00 -6.3265e+00 +2.7099e+00 -5.3723e-01 +1.9185e+00
% function evaluation | noise-free fitness - Fopt (3.914000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.094399991e+06 +2.094399991e+06 +2.094439131e+06 +2.094439131e+06 +3.6396e+00 +9.1871e-01 -1.3679e+00 +4.4720e+00 -3.9953e+00 +1.0579e+00 -4.5661e+00 +1.7960e-01 +1.3013e+00 +3.1766e+00
2 +1.316763687e+06 +1.316763687e+06 +1.316802827e+06 +1.316802827e+06 +3.8890e+00 -2.7740e+00 +4.0391e+00 -2.1726e+00 +2.2529e+00 +2.9707e+00 -3.2060e+00 -3.9050e+00 -2.3128e+00 +2.8092e+00
3 +4.029673795e+05 +4.029673795e+05 +4.030065195e+05 +4.030065195e+05 -1.0528e+00 +4.0785e+00 +6.9652e-02 -3.3487e+00 +1.0537e-01 -4.9874e+00 -1.4370e+00 -8.0349e-01 -1.1039e+00 +1.3354e+00
6 +3.181265784e+05 +3.181265784e+05 +3.181657184e+05 +3.181657184e+05 -4.4044e+00 +9.7272e-01 +3.3702e+00 +3.4300e+00 -2.7467e+00 -4.6519e+00 +4.3661e+00 +4.2870e+00 +1.7746e+00 +2.4855e+00
13 +1.931871782e+05 +1.931871782e+05 +1.932263182e+05 +1.932263182e+05 +3.2354e+00 -3.6148e+00 -4.8870e+00 -3.5414e+00 -1.1349e+00 -2.6691e+00 +4.6430e+00 -4.2231e+00 -6.8656e-01 +4.3474e+00
18 +3.591338969e+04 +3.591338969e+04 +3.595252969e+04 +3.595252969e+04 +2.5307e+00 -2.9595e+00 -4.2561e+00 -3.5505e+00 +4.6775e+00 -4.9472e+00 +2.8025e+00 +3.5206e+00 -3.7300e-01 -1.5211e+00
43 +1.464307888e+04 +1.464307888e+04 +1.468221888e+04 +1.468221888e+04 +5.8419e-04 +2.6168e+00 -1.1108e+00 -1.3204e-01 +3.5265e+00 -3.9628e+00 +4.9682e+00 +9.8574e-01 -2.7997e+00 +3.6735e+00
95 +3.586094910e+02 +3.586094910e+02 +3.977494910e+02 +3.977494910e+02 +4.0203e+00 +2.0531e-01 +4.3335e+00 -1.4321e+00 +4.8936e+00 -7.2455e+00 +9.1124e+00 +1.4859e+00 -3.2567e+00 -1.3769e+00
% function evaluation | noise-free fitness - Fopt (-1.186000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +6.074858423e+05 +6.074858423e+05 +6.074739823e+05 +6.074739823e+05 -1.5276e+00 +3.9035e+00 +1.4419e+00 -1.7312e+00 -1.7879e-01 -3.6163e+00 +3.4527e-01 -3.2872e+00 +2.6038e+00 +4.6626e+00
2 +3.027608976e+05 +3.027608976e+05 +3.027490376e+05 +3.027490376e+05 +1.7439e+00 -3.3554e+00 -1.2426e+00 +1.1300e+00 +1.2048e+00 +4.4166e+00 -3.2995e+00 +3.8543e-01 +4.1122e+00 +1.5250e+00
13 +3.971383198e+04 +3.971383198e+04 +3.970197198e+04 +3.970197198e+04 -8.8192e-01 -7.2777e-01 +2.1310e+00 -3.1757e+00 +1.1553e+00 +3.1278e+00 +4.8817e+00 +2.4420e+00 +1.4357e+00 +4.0817e+00
% function evaluation | noise-free fitness - Fopt (7.068000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
