% function evaluation | noise-free fitness - Fopt (1.491500000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +4.197775688e+05 +4.197775688e+05 +4.194180888e+05 +4.194180888e+05 +9.7227e-01 +4.4542e+00 +1.4287e+00
2 +1.382403727e+03 +1.382403727e+03 +1.022923727e+03 +1.022923727e+03 -4.3563e+00 -4.1543e+00 -1.8060e+00
22 +7.756865302e+02 +7.756865302e+02 +4.162065302e+02 +4.162065302e+02 -5.4765e+00 -3.7625e+00 +1.6157e+00
% function evaluation | noise-free fitness - Fopt (2.748000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.624584901e+04 +1.624584901e+04 +1.627332901e+04 +1.627332901e+04 +2.2574e+00 -1.7687e+00 -3.9096e+00
2 +5.726932767e+03 +5.726932767e+03 +5.754412767e+03 +5.754412767e+03 +4.4068e+00 +1.2278e+00 +1.4061e+00
18 +8.228093516e+02 +8.228093516e+02 +8.502893516e+02 +8.502893516e+02 +1.9515e+00 +3.6094e+00 +5.8208e+00
% function evaluation | noise-free fitness - Fopt (3.609000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.671675814e+03 +2.671675814e+03 +2.707765814e+03 +2.707765814e+03 +1.9624e+00 +1.3311e+00 -1.0687e+00
6 +1.090150637e+03 +1.090150637e+03 +1.126240637e+03 +1.126240637e+03 -5.7876e-01 +2.6026e-02 +1.1065e+00
17 +2.661808619e+02 +2.661808619e+02 +3.022708619e+02 +3.022708619e+02 +1.0073e+00 +1.3311e+00 -1.0687e+00
% function evaluation | noise-free fitness - Fopt (-5.791000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.941376250e+05 +1.941376250e+05 +1.940797150e+05 +1.940797150e+05 -4.4633e+00 -2.6019e+00 -2.5311e+00
2 +6.219603560e+04 +6.219603560e+04 +6.213812560e+04 +6.213812560e+04 -2.2759e+00 -2.2519e+00 -1.8406e+00
5 +1.698119106e+03 +1.698119106e+03 +1.640209106e+03 +1.640209106e+03 +2.0846e+00 +1.9962e+00 +4.3559e+00
21 +8.060235685e+02 +8.060235685e+02 +7.481135685e+02 +7.481135685e+02 +2.1346e+00 +6.4779e-01 +3.6521e+00
% function evaluation | noise-free fitness - Fopt (-3.349100000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +5.332658283e+03 +5.332658283e+03 +4.997748283e+03 +4.997748283e+03 +6.2636e-02 -1.0048e+00 -2.5227e-01
3 +2.185160991e+02 +2.185160991e+02 -1.163939009e+02 -1.163939009e+02 -3.1979e+00 -6.4981e-01 -1.0629e+00
12 +6.254557649e+01 +6.254557649e+01 -2.723644235e+02 -2.723644235e+02 -3.5589e+00 -1.2355e+00 -7.8597e-02
29 +9.036932888e+00 +9.036932888e+00 -3.258730671e+02 -3.258730671e+02 -1.9317e+00 -8.3136e-01 -6.8895e-02
% function evaluation | noise-free fitness - Fopt (-4.670000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.050144133e+03 +2.050144133e+03 +2.003444133e+03 +2.003444133e+03 -2.5512e+00 +1.7616e+00 -4.6063e+00
3 +1.468976443e+02 +1.468976443e+02 +1.001976443e+02 +1.001976443e+02 -7.5571e-01 -9.3289e-01 -1.7589e+00
% function evaluation | noise-free fitness - Fopt (-9.308000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
