% function evaluation | noise-free fitness - Fopt (-4.620900000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
33 +1.189229499e+02 +1.189229499e+02 +1.655329499e+02 +1.655329499e+02 -1.0922e+00 +4.7339e+00 +1.2422e-01 +1.4244e+00 -1.8920e+00
% function evaluation | noise-free fitness - Fopt (-2.643100000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.202946170e+02 +2.202946170e+02 -4.401538300e+01 -4.401538300e+01 -4.5547e+00 +2.2469e+00 -2.9686e+00 +6.5513e-02 +2.8888e+00
7 +1.419520778e+02 +1.419520778e+02 -1.223579222e+02 -1.223579222e+02 +3.4038e+00 +4.3349e+00 +2.5500e+00 -6.4492e-01 +2.7436e+00
% function evaluation | noise-free fitness - Fopt (7.273000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +7.225750608e+02 +7.225750608e+02 +7.953050608e+02 +7.953050608e+02 +1.9238e+00 +1.6985e+00 +2.0344e+00 +4.0956e+00 +2.5205e+00
5 +1.069333505e+02 +1.069333505e+02 +1.796633505e+02 +1.796633505e+02 -5.1335e-01 -8.7256e-01 -1.9649e+00 -7.3445e-01 +9.6490e-01
% function evaluation | noise-free fitness - Fopt (1.368700000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.347552402e+02 +1.347552402e+02 +2.716252402e+02 +2.716252402e+02 +2.6552e+00 +1.6547e+00 -1.0124e-01 +3.0690e+00 -1.1397e-01
% function evaluation | noise-free fitness - Fopt (2.196000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +6.335295972e+02 +6.335295972e+02 +6.554895972e+02 +6.554895972e+02 -4.8129e+00 -3.5441e+00 -1.1629e+00 -3.6124e+00 -3.2236e+00
2 +5.817603885e+02 +5.817603885e+02 +6.037203885e+02 +6.037203885e+02 -2.3383e-01 +3.7886e+00 -9.1090e-01 +3.7439e-01 -4.2424e+00
3 +3.680848265e+02 +3.680848265e+02 +3.900448265e+02 +3.900448265e+02 -4.2457e+00 +4.9184e+00 +9.5951e-01 +3.8855e+00 -1.6387e+00
13 +2.209552010e+02 +2.209552010e+02 +2.429152010e+02 +2.429152010e+02 +8.6870e-01 +2.1542e+00 -4.1355e+00 -3.4392e-01 +1.3325e+00
% function evaluation | noise-free fitness - Fopt (-2.139000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +8.930286777e+03 +8.930286777e+03 +8.908896777e+03 +8.908896777e+03 +2.9954e+00 -2.6834e-01 -2.5313e+00 +2.1368e-02 +4.6324e+00
2 +4.538020525e+02 +4.538020525e+02 +4.324120525e+02 +4.324120525e+02 +1.3338e+00 +3.6749e+00 +9.8665e-01 +1.9274e+00 +2.1305e+00
3 +2.224064255e+02 +2.224064255e+02 +2.010164255e+02 +2.010164255e+02 -1.7345e-01 +4.5704e-01 -4.2530e-01 -4.5305e+00 -2.0150e+00
% function evaluation | noise-free fitness - Fopt (5.176600000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +7.789377630e+03 +7.789377630e+03 +8.307037630e+03 +8.307037630e+03 -4.9514e+00 +2.0565e+00 -3.4946e+00 -3.3742e+00 +4.5143e+00
2 +3.179554422e+02 +3.179554422e+02 +8.356154422e+02 +8.356154422e+02 -4.6548e-01 -3.4643e+00 -3.2830e+00 +1.3744e+00 -1.3079e+00
4 +9.369024218e+01 +9.369024218e+01 +6.113502422e+02 +6.113502422e+02 +6.6333e-01 -1.7474e-01 -1.5132e+00 +4.2013e+00 +9.1492e-01
