% function evaluation | noise-free fitness - Fopt (-6.211100000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +4.546121252e+07 +4.546121252e+07 +4.546021252e+07 +4.546021252e+07 -1.7149e+00 -3.1465e+00
2 +3.853855352e+06 +3.853855352e+06 +3.852855352e+06 +3.852855352e+06 -1.2972e+00 +1.6329e+00
5 +9.950867877e+04 +9.950867877e+04 +9.850867877e+04 +9.850867877e+04 +3.1393e+00 +3.2806e+00
14 +8.865816415e+03 +8.865816415e+03 +7.865816415e+03 +7.865816415e+03 +2.1879e+00 +3.5018e+00
% function evaluation | noise-free fitness - Fopt (5.800000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +7.462343532e+09 +7.462343532e+09 +7.462343590e+09 +7.462343590e+09 -1.7026e+00 -3.2939e+00
2 +1.035988925e+06 +1.035988925e+06 +1.036046925e+06 +1.036046925e+06 +3.5142e+00 +2.1847e+00
4 +4.560891858e+05 +4.560891858e+05 +4.561471858e+05 +4.561471858e+05 +4.8643e+00 +3.6515e+00
8 +4.760004533e+04 +4.760004533e+04 +4.765804533e+04 +4.765804533e+04 +1.7782e+00 +2.9124e+00
20 +1.006917229e+04 +1.006917229e+04 +1.012717229e+04 +1.012717229e+04 -1.7026e+00 +3.3756e+00
% function evaluation | noise-free fitness - Fopt (9.438000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +3.281464487e+07 +3.281464487e+07 +3.281473925e+07 +3.281473925e+07 +4.5462e+00 -2.1624e+00
2 +9.781570018e+06 +9.781570018e+06 +9.781664398e+06 +9.781664398e+06 +1.3124e+00 +4.3489e-01
5 +9.969069802e+05 +9.969069802e+05 +9.970013602e+05 +9.970013602e+05 -4.7124e-01 +2.5620e+00
7 +1.145250324e+05 +1.145250324e+05 +1.146194124e+05 +1.146194124e+05 +1.2354e+00 +4.0062e+00
20 +3.628214945e+04 +3.628214945e+04 +3.637652945e+04 +3.637652945e+04 -4.4317e+00 +3.8237e+00
